mnth,weekday,hr,cnt
1,0,0,48.2
1,0,1,42.4
1,0,2,34.8
1,0,3,18.9
1,0,4,3.6666666666666665
1,0,5,3.4444444444444446
1,0,6,2.888888888888889
1,0,7,8.8
1,0,8,27.6
1,0,9,56.6
1,0,10,102.7
1,0,11,131.7
1,0,12,175.2
1,0,13,174.4
1,0,14,169.9
1,0,15,174.2
1,0,16,166.6
1,0,17,118.2
1,0,18,97.8
1,0,19,81.2
1,0,20,67.4
1,0,21,47.9
1,0,22,40.0
1,0,23,22.4
1,1,0,27.0
1,1,1,16.0
1,1,2,10.666666666666666
1,1,3,2.5
1,1,4,5.0
1,1,5,3.6666666666666665
1,1,6,10.666666666666666
1,1,7,20.666666666666668
1,1,8,54.666666666666664
1,1,9,70.33333333333333
1,1,10,97.33333333333333
1,1,11,139.33333333333334
1,1,12,155.66666666666666
1,1,13,165.66666666666666
1,1,14,139.33333333333334
1,1,15,151.0
1,1,16,138.66666666666666
1,1,17,139.0
1,1,18,133.0
1,1,19,99.0
1,1,20,70.33333333333333
1,1,21,47.333333333333336
1,1,22,31.666666666666668
1,1,23,22.0
1,6,0,36.22222222222222
1,6,1,33.44444444444444
1,6,2,25.444444444444443
1,6,3,12.555555555555555
1,6,4,3.888888888888889
1,6,5,4.571428571428571
1,6,6,4.333333333333333
1,6,7,13.666666666666666
1,6,8,42.111111111111114
1,6,9,61.333333333333336
1,6,10,94.66666666666667
1,6,11,130.88888888888889
1,6,12,155.0
1,6,13,173.33333333333334
1,6,14,188.11111111111111
1,6,15,193.33333333333334
1,6,16,179.88888888888889
1,6,17,137.66666666666666
1,6,18,120.77777777777777
1,6,19,96.22222222222223
1,6,20,72.55555555555556
1,6,21,67.55555555555556
1,6,22,54.111111111111114
1,6,23,55.888888888888886
2,0,0,44.375
2,0,1,40.375
2,0,2,32.375
2,0,3,15.125
2,0,4,3.25
2,0,5,3.0
2,0,6,3.0
2,0,7,12.125
2,0,8,37.125
2,0,9,67.625
2,0,10,127.375
2,0,11,159.25
2,0,12,206.125
2,0,13,223.875
2,0,14,217.25
2,0,15,225.75
2,0,16,214.625
2,0,17,177.0
2,0,18,132.625
2,0,19,79.625
2,0,20,61.75
2,0,21,53.0
2,0,22,69.875
2,0,23,42.125
2,1,0,39.0
2,1,1,14.0
2,1,2,12.0
2,1,3,6.5
2,1,4,1.0
2,1,5,4.5
2,1,6,9.0
2,1,7,31.5
2,1,8,91.5
2,1,9,83.5
2,1,10,112.0
2,1,11,149.0
2,1,12,187.0
2,1,13,207.5
2,1,14,189.5
2,1,15,188.0
