mnth,weekday,hr,cnt
1,1,0,9.714285714285714
1,1,1,4.142857142857143
1,1,2,3.6
1,1,3,2.0
1,1,4,2.4285714285714284
1,1,5,12.142857142857142
1,1,6,46.142857142857146
1,1,7,126.28571428571429
1,1,8,269.85714285714283
1,1,9,143.14285714285714
1,1,10,75.14285714285714
1,1,11,60.57142857142857
1,1,12,77.57142857142857
1,1,13,68.28571428571429
1,1,14,68.71428571428571
1,1,15,71.28571428571429
1,1,16,99.71428571428571
1,1,17,220.85714285714286
1,1,18,211.0
1,1,19,162.57142857142858
1,1,20,109.57142857142857
1,1,21,80.85714285714286
1,1,22,48.142857142857146
1,1,23,30.285714285714285
1,2,0,13.125
1,2,1,5.0
1,2,2,4.375
1,2,3,2.3333333333333335
1,2,4,2.4285714285714284
1,2,5,14.375
1,2,6,64.125
1,2,7,166.25
1,2,8,319.25
1,2,9,163.25
1,2,10,77.0
1,2,11,87.0
1,2,12,101.44444444444444
1,2,13,113.22222222222223
1,2,14,96.88888888888889
1,2,15,106.44444444444444
1,2,16,168.44444444444446
1,2,17,326.22222222222223
1,2,18,292.44444444444446
1,2,19,201.33333333333334
1,2,20,138.88888888888889
1,2,21,95.0
1,2,22,71.22222222222223
1,2,23,41.333333333333336
1,3,0,14.75
1,3,1,7.125
1,3,2,3.75
1,3,3,2.5
1,3,4,2.1666666666666665
1,3,5,14.25
1,3,6,49.75
1,3,7,148.75
1,3,8,301.0
1,3,9,150.75
1,3,10,70.75
1,3,11,73.75
1,3,12,93.125
1,3,13,92.875
1,3,14,78.75
1,3,15,86.25
1,3,16,121.0
1,3,17,222.875
1,3,18,235.42857142857142
1,3,19,168.0
1,3,20,114.42857142857143
1,3,21,83.85714285714286
1,3,22,60.857142857142854
1,3,23,30.285714285714285
1,4,0,12.714285714285714
1,4,1,6.428571428571429
1,4,2,3.142857142857143
1,4,3,3.5
1,4,4,2.4285714285714284
1,4,5,14.571428571428571
1,4,6,62.857142857142854
1,4,7,164.0
1,4,8,359.85714285714283
1,4,9,192.14285714285714
1,4,10,76.0
1,4,11,82.42857142857143
1,4,12,108.57142857142857
1,4,13,120.85714285714286
1,4,14,101.85714285714286
1,4,15,112.85714285714286
1,4,16,146.75
1,4,17,292.25
1,4,18,270.875
1,4,19,198.0
1,4,20,143.75
1,4,21,95.875
1,4,22,75.125
1,4,23,44.875
1,5,0,24.125
1,5,1,10.625
1,5,2,6.125
1,5,3,3.7142857142857144
1,5,4,2.5
1,5,5,12.375
1,5,6,47.125
1,5,7,122.875
1,5,8,281.625
1,5,9,167.875
1,5,10,82.625
1,5,11,86.125
1,5,12,109.5
1,5,13,121.125
1,5,14,101.5
1,5,15,119.875
1,5,16,165.25
1,5,17,279.375
1,5,18,236.875
1,5,19,161.625
1,5,20,106.0
1,5,21,85.625
1,5,22,65.375
1,5,23,47.75
2,1,0,19.166666666666668
2,1,1,6.333333333333333
2,1,2,3.2
2,1,3,1.4
2,1,4,1.8
2,1,5,11.333333333333334
2,1,6,53.0
2,1,7,165.66666666666666
2,1,8,355.0
2,1,9,183.66666666666666
2,1,10,82.16666666666667
2,1,11,82.66666666666667
2,1,12,112.16666666666667
2,1,13,113.16666666666667
2,1,14,101.33333333333333
2,1,15,112.5
2,1,16,166.5
2,1,17,317.3333333333333
2,1,18,313.3333333333333
2,1,19,199.0
2,1,20,139.5
2,1,21,116.16666666666667
2,1,22,73.16666666666667
2,1,23,38.0
2,2,0,13.714285714285714
2,2,1,6.428571428571429
2,2,2,2.857142857142857
2,2,3,2.8
2,2,4,2.1666666666666665
2,2,5,11.714285714285714
2,2,6,59.375
2,2,7,185.0
2,2,8,347.5
2,2,9,183.375
2,2,10,77.75
2,2,11,87.25
2,2,12,117.0
2,2,13,114.625
2,2,14,96.875
2,2,15,109.25
2,2,16,176.75
2,2,17,343.5
2,2,18,312.125
2,2,19,212.625
2,2,20,145.375
2,2,21,113.375
2,2,22,72.375
2,2,23,36.125
2,3,0,19.11111111111111
2,3,1,6.111111111111111
2,3,2,3.75
2,3,3,2.111111111111111
2,3,4,1.1666666666666667
2,3,5,16.11111111111111
2,3,6,64.88888888888889
2,3,7,190.77777777777777
2,3,8,339.3333333333333
2,3,9,173.22222222222223
2,3,10,83.33333333333333
2,3,11,88.0
2,3,12,115.0
2,3,13,119.11111111111111
2,3,14,105.33333333333333
2,3,15,114.77777777777777
2,3,16,161.33333333333334
2,3,17,310.6666666666667
2,3,18,295.6666666666667
2,3,19,190.77777777777777
2,3,20,150.77777777777777
2,3,21,127.44444444444444
2,3,22,85.22222222222223
2,3,23,50.111111111111114
2,4,0,22.25
2,4,1,9.25
2,4,2,5.25
2,4,3,2.857142857142857
2,4,4,1.8333333333333333
2,4,5,14.125
2,4,6,62.25
2,4,7,187.75
2,4,8,361.25
2,4,9,185.125
2,4,10,74.875
2,4,11,91.875
2,4,12,113.625
2,4,13,112.125
2,4,14,94.125
2,4,15,107.125
2,4,16,162.875
2,4,17,317.375
2,4,18,296.0
2,4,19,218.375
2,4,20,166.375
2,4,21,128.125
2,4,22,85.875
2,4,23,58.625
